lambda		value

Calibration:
lambda:	800
Abs:	-0.0007

Data:
#
900		0.2497
899.5		0.261968
899		0.261974
898.5		0.242212
898		0.249036
897.5		0.253128
897		0.272279
896.5		0.253043
896		0.257151
895.5		0.260528
895		0.253083
894.5		0.253715
894		0.255259
893.5		0.266509
893		0.267622
892.5		0.260266
892		0.261467
891.5		0.257598
891		0.270374
890.5		0.263958
890		0.261647
889.5		0.255097
889		0.25875
888.5		0.272671
888		0.261663
887.5		0.260432
887		0.256241
886.5		0.270284
886		0.27295
885.5		0.255412
885		0.254447
884.5		0.26911
884		0.274574
883.5		0.256889
883		0.286772
882.5		0.269305
882		0.267426
881.5		0.254991
881		0.270682
880.5		0.275956
880		0.268661
879.5		0.274995
879		0.273437
878.5		0.270785
878		0.266125
877.5		0.265701
877		0.280754
876.5		0.274869
876		0.274751
875.5		0.276701
875		0.270163
874.5		0.275956
874		0.271803
873.5		0.273142
873		0.279084
872.5		0.273122
872		0.275495
871.5		0.275461
871		0.277727
870.5		0.273982
870		0.2771
869.5		0.272736
869		0.273436
868.5		0.270616
868		0.274758
867.5		0.277095
867		0.2776
866.5		0.27473
866		0.274908
865.5		0.274071
865		0.279364
864.5		0.276162
864		0.280203
863.5		0.284032
863		0.278545
862.5		0.280068
862		0.277173
861.5		0.28129
861		0.282113
860.5		0.28182
860		0.281736
859.5		0.28213
859		0.278593
858.5		0.284296
858		0.286224
857.5		0.283021
857		0.282525
856.5		0.282701
856		0.282559
855.5		0.284032
855		0.28437
854.5		0.284739
854		0.283634
853.5		0.284199
853		0.286068
852.5		0.282816
852		0.285898
851.5		0.288082
851		0.285827
850.5		0.286731
850		0.286958
849.5		0.286532
849		0.289058
848.5		0.289101
848		0.288547
847.5		0.288858
847		0.291576
846.5		0.289824
846		0.29158
845.5		0.289981
845		0.292218
844.5		0.292255
844		0.291313
843.5		0.291892
843		0.293496
842.5		0.294141
842		0.29457
841.5		0.294659
841		0.293241
840.5		0.295809
840		0.295291
839.5		0.29493
839		0.295659
838.5		0.29687
838		0.297506
837.5		0.296589
837		0.298169
836.5		0.300218
836		0.297607
835.5		0.298407
835		0.299256
834.5		0.299395
834		0.300923
833.5		0.299822
833		0.301022
832.5		0.300884
832		0.300934
831.5		0.303268
831		0.302256
830.5		0.302789
830		0.30331
829.5		0.303932
829		0.302958
828.5		0.303625
828		0.303842
827.5		0.304443
827		0.30485
826.5		0.305434
826		0.305015
825.5		0.306313
825		0.305974
824.5		0.306672
824		0.306625
823.5		0.30737
823		0.3078
822.5		0.308
822		0.308413
821.5		0.308782
821		0.30975
820.5		0.308198
820		0.309856
819.5		0.310651
819		0.310976
818.5		0.310555
818		0.311631
817.5		0.312594
817		0.312288
816.5		0.3125
816		0.311029
815.5		0.311977
815		0.313757
814.5		0.313549
814		0.313675
813.5		0.314169
813		0.31428
812.5		0.315458
812		0.315616
811.5		0.316732
811		0.315884
810.5		0.315579
810		0.316883
809.5		0.316356
809		0.317568
808.5		0.317905
808		0.318441
807.5		0.318632
807		0.318945
806.5		0.319064
806		0.320596
805.5		0.320052
805		0.31966
804.5		0.319916
804		0.320487
803.5		0.322232
803		0.322088
802.5		0.322974
802		0.321998
801.5		0.323012
801		0.32459
800.5		0.322773
800		0.324673
799.5		0.324673
799		0.324292
798.5		0.325045
798		0.326743
797.5		0.326226
797		0.32661
796.5		0.326879
796		0.327017
795.5		0.326981
795		0.328305
794.5		0.328106
794		0.32871
793.5		0.328348
793		0.330269
792.5		0.330171
792		0.330732
791.5		0.329944
791		0.329687
790.5		0.330905
790		0.330778
789.5		0.332101
789		0.331771
788.5		0.3333
788		0.331871
